"NatM_p_1_Fem_GP_1","SR_LN(R0)","SR_BH_steep","Q_extraSD_Acoustic_Survey(2)","ln(EffN_mult)_1","ln(EffN_mult)_2"
0.209844,14.5447,0.930975,0.453217,-0.454763,3.81038
0.278086,15.19,0.72671,0.310175,-0.52508,2.2656
0.24769,15.1719,0.80399,0.381998,-0.603278,1.18925
0.205668,14.474,0.700767,0.266547,-0.56806,4.47137
0.20761,14.3887,0.87795,0.237542,-0.383918,3.41491
0.225752,14.4727,0.763411,0.277672,-0.57467,2.53301
0.245996,14.6208,0.600904,0.288021,-0.427237,2.33888
0.238434,14.8231,0.533,0.292725,-0.389709,1.45285
0.269754,15.2367,0.849809,0.475795,-0.59372,2.28194
0.237604,14.7333,0.841474,0.249056,-0.652533,2.44249
0.212305,14.5871,0.896504,0.213124,-0.598792,5.18196
0.230178,15.0044,0.920655,0.154776,-0.570551,2.9072
0.248327,15.145,0.848474,0.358901,-0.528312,4.12718
0.247675,14.6078,0.89754,0.261342,-0.746872,1.40385
0.232942,14.3535,0.698945,0.175889,-0.474937,2.05013
0.204083,14.5081,0.872477,0.223198,-0.555487,4.10236
0.220712,14.5811,0.834682,0.244634,-0.68348,2.52396
0.229213,14.6118,0.661077,0.27197,-0.586606,1.36228
0.237725,14.9599,0.742133,0.153281,-0.668481,1.8223
0.196012,14.5281,0.866482,0.385704,-0.739043,2.29566
0.223973,14.7328,0.772814,0.157962,-0.496236,2.64488
0.203004,14.4853,0.902071,0.321363,-0.355772,2.7132
0.235142,14.662,0.848152,0.219059,-0.502945,1.72119
0.211241,14.6249,0.838087,0.8431,-0.357675,2.92128
0.241825,14.9212,0.919445,0.332695,-0.653921,3.61481
0.238286,15.2842,0.85258,0.443757,-0.521156,2.26829
0.237661,14.9507,0.894788,0.396517,-0.539118,2.89348
0.216559,14.7008,0.786109,0.301221,-0.480636,2.72082
0.209758,14.4596,0.71817,0.4177,-0.762601,2.46067
0.21131,14.7279,0.849602,0.240024,-0.437689,2.31149
0.247548,14.9968,0.740827,0.448222,-0.617257,1.92852
0.258137,15.1328,0.781871,0.197067,-0.567815,1.57421
0.235332,14.7663,0.892451,0.235059,-0.70671,3.60082
0.229323,14.449,0.830944,0.217422,-0.674414,1.65879
0.240698,14.5571,0.885271,0.258597,-0.43648,1.53441
0.191122,14.1078,0.926502,0.288533,-0.441595,1.61178
0.230764,14.8706,0.72498,0.231744,-0.397691,1.69485
0.272604,15.3475,0.842728,0.269752,-0.615124,1.27138
0.244277,14.7393,0.644251,0.272026,-0.578499,2.47594
0.260472,15.202,0.853659,0.416654,-0.798093,5.11136
0.277442,15.307,0.832672,0.414037,-0.65382,1.87339
0.215913,14.7431,0.779448,0.133542,-0.530764,2.98445
0.220249,14.0475,0.780443,0.276337,-0.553029,5.09487
0.206057,14.2525,0.904757,0.258609,-0.655525,4.26834
0.219402,14.6145,0.888264,0.356082,-0.557238,3.04176
0.211218,14.6949,0.860396,0.210519,-0.560411,3.98154
0.215075,14.8841,0.534569,0.235175,-0.551472,2.79926
0.197672,15.0374,0.706231,0.349757,-0.415859,1.74878
0.258398,15.1624,0.791442,0.271654,-0.847911,1.83337
0.246919,14.8476,0.748138,0.251306,-0.698792,1.11361
0.207914,14.1701,0.88853,0.269278,-0.697744,1.90124
0.244399,15.008,0.686205,0.36063,-0.463369,2.40126
0.227977,14.486,0.949823,0.274518,-0.591053,1.79329
0.207322,14.5294,0.70747,0.28029,-0.686933,1.91973
0.280746,15.3977,0.827023,0.377915,-0.552784,2.30743
0.212399,14.6049,0.799297,0.271024,-0.640053,1.47571
0.208074,14.7216,0.862742,0.229567,-0.582859,1.64226
0.238957,14.8841,0.870905,0.291309,-0.405827,2.60991
0.23899,14.9908,0.833533,0.221459,-0.749209,2.14129
0.240997,15.2431,0.78572,0.358671,-0.556237,3.55029
0.241566,14.2665,0.761523,0.277628,-0.583148,2.84487
0.202788,14.3131,0.831501,0.472802,-0.607065,2.93783
0.209355,14.4209,0.829752,0.360883,-0.561032,2.11085
0.195456,14.8868,0.739358,0.279368,-0.674977,4.02592
0.25079,15.036,0.972284,0.301692,-0.761471,2.78014
0.213133,15.0863,0.765908,0.383136,-0.595769,1.33271
0.238531,15.0328,0.761884,0.537188,-0.692039,3.17763
0.258578,14.9153,0.662689,0.308032,-0.598306,1.65783
0.236135,14.642,0.640541,0.214219,-0.546074,3.86908
0.215678,14.5469,0.664863,0.24819,-0.500565,3.77822
0.214918,14.7432,0.652412,0.332251,-0.506764,2.3926
0.241164,14.7258,0.849232,0.280978,-0.482498,1.75843
0.220148,14.6388,0.840242,0.20337,-0.64009,1.84146
0.231512,14.5015,0.411535,0.221716,-0.504738,3.40345
0.25304,15.1195,0.690711,0.18167,-0.545049,1.36516
0.223848,14.4797,0.936543,0.257556,-0.596876,2.95748
0.210396,14.2965,0.950579,0.212071,-0.608669,2.11582
0.223888,14.3923,0.877689,0.492917,-0.623826,1.86408
0.232884,14.8321,0.834469,0.253238,-0.711258,2.67937
0.213358,14.5107,0.826908,0.247056,-0.537344,0.954431
0.222911,14.4191,0.816195,0.203652,-0.528036,1.77408
0.242509,14.8757,0.859727,0.348884,-0.774984,4.70377
0.208409,14.6852,0.826132,0.226582,-0.558272,2.99451
0.277588,15.4938,0.633491,0.24432,-0.517006,1.20588
0.261694,15.1375,0.752876,0.346985,-0.577086,3.49048
0.254723,14.5512,0.745401,0.303331,-0.571967,2.32177
0.254214,15.1849,0.658667,0.311389,-0.553253,2.03019
0.269387,15.5069,0.696554,0.567529,-0.504754,4.50103
0.23188,15.1369,0.609247,0.211006,-0.536245,2.42052
0.186072,14.6304,0.705008,0.366992,-0.435358,1.9718
0.254674,15.0415,0.701771,0.264046,-0.582227,1.13746
0.243018,14.6085,0.869474,0.528471,-0.504563,2.96173
0.255872,15.143,0.736365,0.331229,-0.605265,2.87345
0.174426,14.0166,0.876537,0.382587,-0.501894,1.64104
0.21211,14.397,0.852338,0.358325,-0.658321,3.06985
0.229433,14.924,0.75656,0.336453,-0.231989,2.50028
0.272755,15.7275,0.694753,0.195408,-0.630054,2.99758
0.288042,15.5962,0.891575,0.277334,-0.554348,3.25902
0.246633,14.6018,0.586444,0.237853,-0.419109,3.09497
0.220727,14.7981,0.829371,0.256514,-0.453497,3.07421
0.230417,14.6792,0.830536,0.311676,-0.604825,2.36495
0.237455,15.1622,0.806874,0.211953,-0.588656,2.63051
0.197967,14.2559,0.872092,0.324557,-0.571752,1.75084
0.224263,14.2915,0.639102,0.248494,-0.625063,1.58091
0.245128,14.7847,0.94449,0.274469,-0.59948,1.58488
0.208726,14.6432,0.75172,0.304958,-0.509929,1.38611
0.23049,14.761,0.89467,0.321615,-0.676289,2.04441
0.22481,14.4404,0.750776,0.344289,-0.5331,2.47539
0.221142,14.4266,0.842901,0.395977,-0.558778,2.04622
0.239995,14.733,0.865272,0.302139,-0.511041,2.10772
0.242015,14.8133,0.777863,0.195471,-0.706277,2.34332
0.234425,14.6642,0.796889,0.253966,-0.481791,1.70016
0.227452,14.7779,0.700735,0.230684,-0.661697,2.55377
0.249695,14.8043,0.775667,0.387775,-0.360835,4.19892
0.229097,14.7677,0.771,0.373115,-0.501655,2.35492
0.19801,14.741,0.793258,0.440053,-0.586117,3.34085
0.205548,14.5106,0.698466,0.215561,-0.611812,1.53434
0.203685,14.9029,0.768376,0.360805,-0.525277,2.50233
0.226422,14.6461,0.703916,0.356672,-0.56451,2.42205
0.229788,14.6213,0.786712,0.353664,-0.693079,3.82982
0.228308,14.8568,0.874996,0.418737,-0.498294,1.65903
0.212844,14.5964,0.789136,0.180405,-0.436259,1.39178
0.220505,14.6856,0.843126,0.273181,-0.596578,1.84303
0.215846,14.497,0.918837,0.240865,-0.382677,2.46592
0.216342,14.6494,0.941428,0.409167,-0.538666,1.96576
0.264747,15.0648,0.91116,0.377059,-0.598122,1.55543
0.209145,14.3588,0.71358,0.361785,-0.47194,3.83554
0.225504,14.4683,0.76842,0.269094,-0.615973,3.47282
0.241441,14.5387,0.521705,0.36844,-0.532189,1.54794
0.238168,14.6131,0.853148,0.208634,-0.5142,1.81555
0.235116,14.3432,0.724264,0.192211,-0.671094,1.96463
0.225514,14.5191,0.936535,0.290461,-0.565682,2.1299
0.224507,14.7662,0.76786,0.289935,-0.608207,1.39098
0.226535,14.8092,0.554196,0.245878,-0.616139,1.22348
0.176086,14.2925,0.653299,0.418446,-0.571218,1.82283
0.239014,15.1267,0.781919,0.398353,-0.495511,2.33423
0.269755,15.3977,0.828251,0.319732,-0.541673,2.26689
0.245329,15.0264,0.583459,0.35787,-0.522989,1.67433
0.255915,14.846,0.927497,0.361621,-0.546328,1.72174
0.242048,14.6699,0.711505,0.292595,-0.587899,4.44004
0.221592,14.8625,0.804818,0.423935,-0.713941,3.17521
0.242511,14.9229,0.684267,0.286693,-0.604866,1.37737
0.244017,14.7474,0.906464,0.582331,-0.494651,4.07598
0.284968,15.596,0.862588,0.241354,-0.667832,3.15873
0.26379,15.6129,0.685453,0.373726,-0.520653,1.79735
0.250412,15.3062,0.855139,0.371118,-0.72752,1.7283
0.235143,15.0349,0.83383,0.262814,-0.519546,2.56654
0.206829,14.6821,0.69326,0.25889,-0.679965,3.11402
0.282658,15.0835,0.779748,0.279375,-0.605154,2.93902
0.221754,14.5024,0.77381,0.338759,-0.575716,3.09702
0.218528,14.6429,0.936174,0.286969,-0.682264,5.21217
0.208626,14.6297,0.969814,0.443206,-0.51805,2.03173
0.200519,13.9874,0.879419,0.288368,-0.604897,1.36794
0.24761,14.6112,0.650978,0.259328,-0.487018,3.63487
0.222003,14.6826,0.70394,0.617685,-0.618936,1.9769
0.216432,14.564,0.865073,0.156899,-0.595395,3.90314
0.218268,14.4675,0.663469,0.194481,-0.54636,4.69094
0.239136,14.8009,0.786939,0.208766,-0.583361,2.67784
0.221903,14.4482,0.893301,0.27735,-0.471142,3.26267
0.218326,14.2244,0.768883,0.477794,-0.481263,1.63926
0.245985,14.7437,0.768759,0.225557,-0.398437,1.92089
0.202515,14.347,0.730606,0.473307,-0.526926,1.91256
0.23001,14.7091,0.928807,0.265325,-0.678582,2.16825
0.225669,14.8569,0.755227,0.308567,-0.62229,2.07095
0.25019,14.7676,0.693058,0.410027,-0.478083,2.17477
0.178907,14.3907,0.654928,0.274261,-0.649965,2.48812
0.236931,14.7161,0.879255,0.264372,-0.614901,1.97726
0.267528,14.9993,0.910912,0.240637,-0.338329,1.95911
0.285347,15.5078,0.642846,0.239159,-0.55759,2.30819
0.213694,14.7953,0.731863,0.555492,-0.684476,1.74342
0.208767,14.6466,0.769995,0.202137,-0.722247,4.21689
0.223275,15.0363,0.689143,0.276235,-0.449071,2.35886
0.233829,14.897,0.776969,0.45017,-0.688754,2.44435
0.285361,15.9437,0.916165,0.447713,-0.558681,3.28849
0.22693,14.5733,0.936289,0.28484,-0.766077,2.12462
0.225445,14.7329,0.882193,0.314121,-0.516105,2.40442
0.223366,14.4398,0.955393,0.250383,-0.77369,3.33247
0.233188,14.5758,0.955774,0.494623,-0.332818,3.14603
0.229911,14.4695,0.875291,0.423261,-0.533445,3.82249
0.268341,15.1766,0.956389,0.140554,-0.562391,3.46745
0.251235,14.6155,0.888124,0.250803,-0.347011,1.8037
0.207789,14.697,0.893372,0.279909,-0.500271,1.91724
0.218902,14.3243,0.655858,0.277172,-0.515407,3.10788
0.221721,14.6817,0.716249,0.177234,-0.695552,1.80884
0.230338,15.1887,0.758654,0.391067,-0.632711,1.7047
0.219503,14.5807,0.939454,0.402682,-0.599931,2.64694
0.209092,14.7647,0.973195,0.330574,-0.49325,1.63536
0.259158,14.9173,0.676385,0.195516,-0.450855,2.46231
0.221365,14.7782,0.843943,0.678606,-0.260809,2.09756
0.243654,14.9947,0.860165,0.341791,-0.762261,2.33038
0.209223,14.2752,0.874318,0.318269,-0.500703,1.52556
0.200985,14.0666,0.702608,0.325848,-0.467996,2.56348
0.244459,15.1583,0.818608,0.2861,-0.557503,3.25729
0.215798,14.3124,0.813526,0.233726,-0.621487,2.35904
0.223308,14.9106,0.785509,0.218802,-0.679271,2.65015
0.22753,14.7657,0.902608,0.322144,-0.629027,2.55847
0.252311,15.1626,0.850167,0.295178,-0.562453,1.61331
0.213289,14.3557,0.676584,0.39233,-0.453648,4.33607
0.273922,15.2891,0.825415,0.24498,-0.42798,3.36036
0.240012,14.6743,0.934122,0.282535,-0.661014,2.30777
0.220867,14.7608,0.835208,0.226778,-0.561081,2.68492
0.209377,14.6692,0.761792,0.17331,-0.333104,2.17244
0.24192,14.8998,0.807047,0.263265,-0.606942,3.22219
0.269715,15.1786,0.786534,0.377166,-0.445464,1.96597
0.287221,15.9501,0.911172,0.378457,-0.535154,2.4713
0.261385,14.9774,0.782922,0.186019,-0.376171,2.32339
0.226659,14.8327,0.805273,0.38638,-0.68807,2.2418
0.232797,15.0994,0.886762,0.267983,-0.604761,1.49311
0.198687,14.3093,0.884657,0.309566,-0.599784,2.88839
0.211951,14.2425,0.828465,0.42081,-0.774342,2.3538
0.220725,14.3376,0.673917,0.262855,-0.738071,1.29352
0.232135,14.909,0.861835,0.240838,-0.641744,3.27502
0.257044,14.9522,0.674436,0.174031,-0.592774,2.88401
0.221267,14.536,0.803298,0.326346,-0.475017,4.57092
0.208229,14.4393,0.697003,0.293502,-0.596205,2.45823
0.208115,14.3685,0.716914,0.406662,-0.357057,1.72387
0.222088,14.8091,0.808326,0.340912,-0.647471,2.0702
0.205949,14.4213,0.910228,0.32315,-0.635838,1.54807
0.261425,14.9118,0.839232,0.280237,-0.5079,1.80263
0.244823,14.9234,0.859801,0.280202,-0.592329,2.59742
0.251585,15.2113,0.85823,0.30045,-0.739287,2.52176
0.23435,14.404,0.874085,0.22495,-0.673521,1.7768
0.218662,14.7681,0.983641,0.334142,-0.628025,1.419
0.221571,14.5226,0.986195,0.265744,-0.543198,2.52014
0.233372,14.6168,0.690683,0.407259,-0.561696,2.25556
0.242879,14.709,0.761189,0.145903,-0.549661,3.1547
0.235219,14.6255,0.737243,0.418568,-0.623473,2.50492
0.209729,14.7863,0.842898,0.203804,-0.558692,3.0272
0.223235,14.4037,0.84619,0.423696,-0.557379,4.15766
0.215563,14.8093,0.895096,0.227397,-0.710063,2.07209
0.21062,14.2719,0.943664,0.650142,-0.387206,2.50639
0.22059,14.6413,0.738991,0.210524,-0.355015,1.32065
0.247702,15.002,0.779374,0.28558,-0.466259,2.16808
0.207931,14.405,0.935092,0.304266,-0.556841,1.86413
